plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type WagonName isDepDCDC
33 6 1 FO 920.920 145.010 0 6 920.900 48.300 1004.600 96.700 1004.600 193.300 920.900 241.700 837.200 193.300 837.200 96.700 920.900 48.300 0 0 0.703 2.000 0.286 1.000 0.269 1.000 10 0 False 3 3.600 0 8.948 0 3306010 3306010 33000.000 33010.000 A A "" "F"
33 6 2 FO 837.200 290.020 0 6 837.200 193.300 920.900 241.700 920.900 338.400 837.200 386.700 753.500 338.400 753.500 241.700 837.200 193.300 0 0 0.730 2.000 0.294 1.000 0.275 1.000 12 0 False 3 3.600 0 19.107 0 3306020 3306020 33000.000 33010.000 A A "" "F"
33 6 3 FO 753.480 435.020 4 6 753.500 338.400 837.200 386.700 837.200 483.400 753.500 531.700 669.800 483.400 669.800 386.700 753.500 338.400 0 1 0.723 2.000 0.293 1.000 0.274 1.000 28 1 False 3 3.600 0 30.000 0 3306030 3306030 33101.000 33111.000 B B "" "F"
33 6 4 FO 669.760 580.030 4 6 669.800 483.400 753.500 531.700 753.500 628.400 669.800 676.700 586.000 628.400 586.000 531.700 669.800 483.400 0 1 0.712 2.000 0.282 1.000 0.266 1.000 14 1 False 3 3.600 0 40.893 0 3306040 3306040 33100.000 33110.000 A A "" "F"
33 6 5 FO 586.040 725.040 4 6 586.000 628.400 669.800 676.700 669.800 773.400 586.000 821.700 502.300 773.400 502.300 676.700 586.000 628.400 0 1 0.698 2.000 0.266 1.000 0.254 1.000 16 1 False 3 3.600 0 51.052 0 3306050 3306050 33100.000 33110.000 A A "" "F"
33 6 6 FO 502.320 870.050 1 6 502.300 773.400 586.000 821.700 586.000 918.400 502.300 966.700 418.600 918.400 418.600 821.700 502.300 773.400 1 0 0.685 2.000 0.251 1.000 0.244 1.000 9 0 False 3 3.600 0 60.000 0 3306060 3306060 33200.000 33210.000 A A "" "F"
33 6 7 FO 418.600 1015.060 1 6 418.600 918.400 502.300 966.700 502.300 1063.400 418.600 1111.700 334.900 1063.400 334.900 966.700 418.600 918.400 1 0 0.687 2.000 0.243 1.000 0.238 1.000 11 0 False 3 3.600 0 67.589 0 3306070 3306070 33200.000 33210.000 A A "" "F"
33 6 8 FO 334.880 1160.060 1 6 334.900 1063.400 418.600 1111.700 418.600 1208.400 334.900 1256.700 251.200 1208.400 251.200 1111.700 334.900 1063.400 1 0 0.664 2.000 0.235 1.000 0.232 1.000 13 0 True 3 3.600 0 73.898 0 3306080 3306080 33200.000 33210.000 A A "" "F"
33 6 9 FO 251.160 1305.070 1 6 251.200 1208.400 334.900 1256.700 334.900 1353.400 251.200 1401.700 167.400 1353.400 167.400 1256.700 251.200 1208.400 1 0 0.665 2.000 0.227 1.000 0.225 1.000 19 0 True 3 3.600 0 79.107 0 3306090 3306090 33200.000 33210.000 A A "" "F"
33 6 10 FO 167.440 1450.080 1 6 167.400 1353.400 251.200 1401.700 251.200 1498.400 167.400 1546.800 83.700 1498.400 83.700 1401.700 167.400 1353.400 1 0 0.659 2.000 0.225 1.000 0.223 1.000 21 0 True 3 3.600 0 83.413 0 3306100 3306100 33201.000 33210.000 B A "" "F"
33 6 11 FO 83.720 1595.090 5 6 83.700 1498.400 167.400 1546.800 167.400 1643.400 83.700 1691.800 0.000 1643.400 0.000 1546.800 83.700 1498.400 1 0 0.656 2.000 0.221 1.000 0.220 1.000 21 0 False 3 3.600 0 86.996 0 3306110 3306110 33201.000 33210.000 B A "" "F"
33 6 12 bOe 0.000 1740.100 2 5 83.700 1788.400 -83.700 1788.400 -83.700 1691.800 -0.000 1643.400 83.700 1691.800 83.700 1788.400 0.000 0.000 1 0 0.644 1.000 0.192 1.000 0.192 1.000 21 0 False 3 3.600 0 90.000 0 3306120 3306120 33201.000 33210.000 B A "" "F"
33 7 0 FO 1172.090 0.000 0 6 1172.100 -96.700 1255.800 -48.300 1255.800 48.300 1172.100 96.700 1088.400 48.300 1088.400 -48.300 1172.100 -96.700 0 0 0.671 2.000 0.242 1.000 0.237 1.000 8 0 True 3 3.600 0 0.000 0 3307000 3307000 33000.000 33010.000 A A "West3" "F"
33 7 1 FO 1088.370 145.010 0 6 1088.400 48.300 1172.100 96.700 1172.100 193.300 1088.400 241.700 1004.600 193.300 1004.600 96.700 1088.400 48.300 0 0 0.676 2.000 0.249 1.000 0.243 1.000 10 0 False 3 3.600 0 7.589 0 3307010 3307010 33000.000 33010.000 A A "" "F"
33 7 2 FO 1004.640 290.020 0 6 1004.600 193.300 1088.400 241.700 1088.400 338.400 1004.600 386.700 920.900 338.400 920.900 241.700 1004.600 193.300 0 0 0.688 2.000 0.252 1.000 0.245 1.000 12 0 False 3 3.600 0 16.102 0 3307020 3307020 33000.000 33010.000 A A "" "T"
33 7 3 FO 920.920 435.020 4 6 920.900 338.400 1004.600 386.700 1004.600 483.400 920.900 531.700 837.200 483.400 837.200 386.700 920.900 338.400 0 1 0.693 2.000 0.259 1.000 0.250 1.000 24 1 False 3 3.600 0 25.285 0 3307030 3307030 33100.000 33110.000 A A "" "F"
33 7 4 FO 837.200 580.030 4 6 837.200 483.400 920.900 531.700 920.900 628.400 837.200 676.700 753.500 628.400 753.500 531.700 837.200 483.400 0 1 0.693 2.000 0.255 1.000 0.247 1.000 28 0 True 3 3.600 0 34.715 0 3307040 3307040 33101.000 33111.000 B B "" "F"
